中文
歷史
哲學
音樂
應用美術,應美
景觀設計,景觀
影像傳播,影傳
新聞傳播,新傳,新聞
廣告傳播,廣告,廣傳
體育,體學
圖書資訊,圖資
護理
公共衛生,公衛
醫學
臨床心理,臨心
職能治療,職治
呼吸治療
數學
物理
化學
生命科,生科
資訊工程,資工
電機工程,電機
英國語文,英文,英語
德語語文,德語,德文
法國語文,法國,法文
西班牙語文,西班牙,西文
日本語文,日文,日語
義大利語文,義大利,義文
織品服裝,織品,服設,織設
兒童與家庭,兒家
餐旅管理,餐旅,餐飲
食品科,食科
營養科,營養
法律
財經法律
學士後法律
社會
社會工作,社工
經濟,輔經
宗教
心理
企業管理,企管
會計
統計資訊,統資
金融與國際企業,金融國企,金企
資訊管理,資管
共同外語科,外文
品牌與時尚經營管理碩士學位學程,MA program in Brand
藝術與文化創意學士學位,文創
大眾傳播學士學位學程,大眾傳播,大傳
商業管理學學士學位學程,商管,商業
運動休閒管理學士學位學程,進修運管,運管
軟體工程與數位創意學士學位學程,軟創
